"condition","angle_rel_fish","dot_size_cm","dot_speed_blps","dot_dir","total_time_s"
1,180,0.2,1,"anticlockwise",18.85
2,180,0.2,1,"clockwise",18.85
3,180,0.2,4,"anticlockwise",4.71666666666667
4,180,0.2,4,"clockwise",4.71666666666667
5,180,0.2,8,"anticlockwise",2.35
6,180,0.2,8,"clockwise",2.35
7,180,0.5,1,"anticlockwise",18.85
8,180,0.5,1,"clockwise",18.85
9,180,0.5,4,"anticlockwise",4.71666666666667
10,180,0.5,4,"clockwise",4.71666666666667
11,180,0.5,8,"anticlockwise",2.35
12,180,0.5,8,"clockwise",2.35
13,180,1,1,"anticlockwise",18.85
14,180,1,1,"clockwise",18.85
15,180,1,4,"anticlockwise",4.71666666666667
16,180,1,4,"clockwise",4.71666666666667
17,180,1,8,"anticlockwise",2.35
18,180,1,8,"clockwise",2.35
19,180,2,1,"anticlockwise",18.85
20,180,2,1,"clockwise",18.85
21,180,2,4,"anticlockwise",4.71666666666667
22,180,2,4,"clockwise",4.71666666666667
23,180,2,8,"anticlockwise",2.35
24,180,2,8,"clockwise",2.35
25,180,4,1,"anticlockwise",18.85
26,180,4,1,"clockwise",18.85
27,180,4,4,"anticlockwise",4.71666666666667
28,180,4,4,"clockwise",4.71666666666667
29,180,4,8,"anticlockwise",2.35
30,180,4,8,"clockwise",2.35
31,180,8,1,"anticlockwise",18.85
32,180,8,1,"clockwise",18.85
33,180,8,4,"anticlockwise",4.71666666666667
34,180,8,4,"clockwise",4.71666666666667
35,180,8,8,"anticlockwise",2.35
36,180,8,8,"clockwise",2.35
